	E054	E055	E056	E061	E062	E122
ENSG00000006125	71341	47577	77933	174149	10443	108918
ENSG00000006128	2	89	4	11	0	0
ENSG00000006194	3055	4058	5162	6777	1989	2981
ENSG00000006210	7000	2	16	3904	0	1300
ENSG00000006282	1743	15272	28335	29631	3386	24889
ENSG00000006283	2727	44	444	2	2	4
ENSG00000006327	2958	33977	81572	1135	304	39345
ENSG00000006377	912	0	0	0	0	0
ENSG00000006432	641	117	999	1138	713	67
ENSG00000006451	4614	11022	8413	11877	983	47815
ENSG00000006453	85	3101	8256	13770	594	235
ENSG00000006459	2101	1525	504	2683	10038	2923
ENSG00000006468	51268	9290	13490	14868	12	1510
ENSG00000006530	3941	5453	7177	10410	2849	9985
ENSG00000006555	35	0	3	1	559	0
ENSG00000006576	3283	2786	5201	11859	3835	7723
ENSG00000006606	0	0	4	0	2	0
ENSG00000006607	3780	1912	5250	51715	1304	4422
ENSG00000006611	0	0	0	2	1	0
ENSG00000006625	2017	1624	4630	10030	344	3332
ENSG00000006634	1776	2502	2967	2831	2176	877
ENSG00000006638	4	550	3353	2007	105	1031
ENSG00000006652	2791	5327	2800	5827	3541	6075
ENSG00000006659	0	0	0	2	1	0
ENSG00000006695	1413	2108	4378	5717	658	4805
ENSG00000006704	5216	5433	8196	11624	42	8273
ENSG00000006712	7814	7578	20018	12982	2328	19804
ENSG00000006715	10908	5396	6482	30698	2117	13136
ENSG00000006740	49	179	375	10	21	63
ENSG00000006744	9327	9151	29746	28092	4376	30782
ENSG00000006747	5	29	4	5728	10	31
ENSG00000006756	3411	2950	7335	6734	1993	11459
ENSG00000006757	149	1045	2003	4933	164	2925
ENSG00000006788	1	1	1	2	2	2
ENSG00000006831	7012	10239	19542	48372	4032	16425
ENSG00000006837	3255	2418	2826	5407	1482	3184
ENSG00000007001	2	0	0	2	1	0
ENSG00000007038	3	32	19	5	39	29
ENSG00000007047	6737	5490	16068	24310	2885	7715
ENSG00000007062	3578	0	0	303	433	221
ENSG00000007080	4164	7986	40446	21538	1129	16152
ENSG00000007129	0	3	10	6	494	254
ENSG00000007168	23344	17812	24839	44185	8680	31559
ENSG00000007171	28	0	2	28	8	10
ENSG00000007174	1606	0	1	20	24	2
ENSG00000007202	39759	36585	92800	102018	17584	98302
ENSG00000007216	0	2	0	4	0	0
ENSG00000007237	4629	808	2316	89158	18435	4
ENSG00000007255	1117	330	989	6409	885	4173
ENSG00000007264	12	22	18	63	4553	0
ENSG00000007306	0	0	0	2	0	6
ENSG00000007312	0	153	93	7637	1120	325
ENSG00000007314	0	116	4	6	31	24
ENSG00000007341	1880	2062	2816	5571	919	2837
ENSG00000007350	6	0	0	32	1013	6
ENSG00000007372	1208	12	6	2	178	2
ENSG00000007376	2494	5377	14215	11338	1497	19150
ENSG00000007384	4008	20819	48126	21353	28	41441
ENSG00000007392	8640	3609	6490	11025	5218	19010
ENSG00000007402	275	42	45	107	2912	97
ENSG00000007516	2284	211	292	120	1273	152
ENSG00000007520	3198	7102	20992	15792	1375	17648
ENSG00000007541	10534	9421	21956	30127	1921	35669
ENSG00000007545	10362	8534	14770	15096	5605	21488
ENSG00000007866	2963	20784	31704	11869	14	976
ENSG00000007908	0	0	0	0	6	1167
ENSG00000007923	7937	9185	22012	25700	2526	20019
ENSG00000007933	0	6	4	4	8	0
ENSG00000007944	658	1045	2552	7516	6537	7414
ENSG00000007952	0	0	0	4	7	6
ENSG00000007968	1263	294	4603	2428	885	1002
ENSG00000008018	6167	11348	23441	26364	5608	71163
ENSG00000008056	1340	814	1617	172	274	7
ENSG00000008083	6816	3485	4717	14948	11716	3442
ENSG00000008086	914	656	747	1758	204	913
ENSG00000008118	244	34	39	57	10	0
ENSG00000008128	5422	5788	12291	6288	6978	6977
ENSG00000008130	9324	9031	24211	27553	7582	34768
ENSG00000008196	63	0	0	886	0	2
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	422	147	23	48	1872	10
ENSG00000008256	4002	12116	22106	49080	2348	6411
ENSG00000008277	6346	312	507	1694	307	260
ENSG00000008282	3270	8254	16003	34752	2703	20033
ENSG00000008283	608	1574	3322	8426	1385	18214
ENSG00000008294	42639	12662	16176	26904	7644	13799
ENSG00000008300	10254	1091	1181	1469	915	503
ENSG00000008311	6462	1741	1645	6318	108	5832
ENSG00000008323	14	49	113	57	49	34
ENSG00000008324	655	880	2415	2663	991	2302
ENSG00000008382	1754	614	2963	5703	809	3567
ENSG00000008394	219	8300	18269	3053	600	16579
ENSG00000008405	3152	2244	2937	5335	2487	5301
ENSG00000008438	13	5	0	0	439	0
ENSG00000008441	15830	30450	111270	37569	689	4076
ENSG00000008513	1716	8135	20704	12981	17282	29922
ENSG00000008516	81	44	33	47	3578	51
ENSG00000008517	8	46	1717	7	8222	42017
ENSG00000008710	38277	81141	54091	41946	12586	35855
ENSG00000008735	1845	73	171	981	42	140
ENSG00000008838	20210	11937	39061	30271	4354	51290
ENSG00000008853	12521	4734	15471	17287	1239	12637
ENSG00000008869	5353	3637	3660	10663	6717	20774
ENSG00000008952	12725	7384	8560	14812	6036	10823
ENSG00000009307	47515	59384	59184	104578	38016	74794
ENSG00000009335	7567	14594	33989	41389	6380	42712
ENSG00000009413	33846	9522	10213	21704	4617	7318
ENSG00000009694	15807	1	0	0	5435	2
ENSG00000009709	0	0	0	3	0	0
ENSG00000009724	203	34	0	8	1331	3
ENSG00000009765	2	0	1	4	0	1
ENSG00000009780	773	612	936	2341	781	808
ENSG00000009790	19	18	0	0	13319	0
ENSG00000009830	14889	4984	9983	11805	681	14965
ENSG00000009844	8219	5137	6866	15356	1252	10291
ENSG00000009950	3	72	11	4	20	2
ENSG00000009954	16740	20307	27027	12357	4881	17985
ENSG00000010017	7072	7397	10908	15006	4881	8499
ENSG00000010030	21	1	32	435	150	134
ENSG00000010072	1585	922	1647	4590	1563	3994
ENSG00000010165	4112	6165	13175	14951	433	11249
ENSG00000010219	1349	2279	4547	5483	353	6160
ENSG00000010244	26131	35856	53427	56365	22652	84999
ENSG00000010256	15337	32245	95294	66910	6215	81184
ENSG00000010270	5970	4239	8972	18300	1395	14306
ENSG00000010278	3699	10986	41975	54470	1471	203425
ENSG00000010282	83	0	0	2	2	6
ENSG00000010292	15144	27384	56365	38477	4362	34874
ENSG00000010295	3428	5219	11037	21237	4677	21389
ENSG00000010310	55	24	55	408	345	5
ENSG00000010318	447	479	792	1319	661	1203
ENSG00000010319	13	20	26	19	115	17929
ENSG00000010322	31926	17676	29615	37023	14014	169124
ENSG00000010327	152	243	59	20	12531	355984
ENSG00000010361	2084	3131	4122	4667	706	3494
ENSG00000010379	7	3	4	14	12	24
ENSG00000010404	43931	16881	38666	27719	26373	47206
ENSG00000010438	3	1230	3657	260	37	634
ENSG00000010539	1113	467	1210	2265	268	1407
ENSG00000010610	51	4	65	6590	26758	2
ENSG00000010626	749	803	1900	3169	337	933
ENSG00000010671	8	0	0	225	4033	54
ENSG00000010704	443	1210	2301	4901	277	2991
ENSG00000010803	4706	8200	16216	23739	1658	17315
ENSG00000010810	33987	18322	14870	35067	28977	13123
ENSG00000010818	4590	9504	15629	12004	9086	2210
ENSG00000010932	0	2	0	4	1	0
ENSG00000011007	8817	9446	26244	29965	3853	11415
ENSG00000011009	3868	5969	27172	25692	2075	42132
ENSG00000011021	12627	12419	15583	28040	4565	21026
ENSG00000011028	58049	44388	130668	2219	295	30254
ENSG00000011052	13465	46014	175322	83105	4834	116980
ENSG00000011083	146	0	0	0	0	0
ENSG00000011105	2491	2706	11385	12628	180	34922
ENSG00000011114	5514	5193	12497	15186	2364	19864
ENSG00000011132	1332	2347	4696	5438	1142	9793
ENSG00000011143	2094	2234	2370	4032	246	2965
ENSG00000011198	1450	3350	2729	2666	1824	2666
ENSG00000011201	1356	1018	1559	206	10	773
ENSG00000011243	11459	5518	8754	11030	5500	10555
ENSG00000011258	5401	1386	1159	4401	3354	4316
ENSG00000011260	2979	4022	4855	10312	1788	2544
ENSG00000011275	13488	10346	17639	14658	11061	18665
ENSG00000011295	5292	4973	6575	18014	4119	3496
ENSG00000011304	27423	49544	219853	103713	15781	129266
ENSG00000011332	2062	533	4673	740	79	465
ENSG00000011347	404	10557	1742	28	2	92
ENSG00000011376	6675	4486	11612	11196	1036	8779
ENSG00000011405	16268	7521	9555	17600	5791	40693
ENSG00000011422	270	12952	61121	1873	12792	16022
ENSG00000011426	5350	15728	27544	11178	189	9016
ENSG00000011451	21081	21474	50596	51093	3144	20152
ENSG00000011454	16331	7647	6865	14099	2795	18379
ENSG00000011465	138	59723	72560	8	7	51
ENSG00000011478	1120	2425	4564	10112	484	10652
ENSG00000011485	12950	17601	50116	30831	2886	50825
ENSG00000011523	9220	4330	4653	10363	4052	17273
ENSG00000011566	4429	6601	5681	9920	1354	5497
ENSG00000011590	11	5	0	0	146	0
ENSG00000011600	0	0	4	0	22916	0
ENSG00000011638	714	2225	3391	8874	433	6159
ENSG00000011677	127	0	0	0	0	0
ENSG00000012048	3487	3441	8807	4175	358	4034
ENSG00000012061	8340	23779	50190	24690	3691	29340
ENSG00000012124	0	286	612	32	2783	0
ENSG00000012174	4630	5193	6209	19330	833	8255
ENSG00000012211	441	3529	6202	9846	1820	3035
ENSG00000012223	0	0	0	3	13998	0
ENSG00000012232	63072	5946	24910	44839	3736	48360
ENSG00000012504	41	0	0	0	0	0
ENSG00000012660	12683	19614	33014	37705	8976	41966
ENSG00000012779	12	0	0	3	17609	26
ENSG00000012817	0	4438	6026	15479	13066	19883
ENSG00000012822	12223	10720	17669	22600	8797	40888
ENSG00000012963	7829	4284	19613	16752	1877	11286
ENSG00000012983	7892	6390	8872	8653	3400	6456
ENSG00000013016	3730	19143	51474	9266	878	6527
ENSG00000013275	7859	11830	41669	29140	2726	26326
ENSG00000013288	9084	10409	28608	19686	9145	28222
ENSG00000013293	9	194	80	6	0	692
ENSG00000013297	79	15607	33936	274	8	58351
ENSG00000013306	8330	10430	44018	52344	3689	36612
ENSG00000013364	675	37616	137830	54897	12140	26782
ENSG00000013374	3382	7779	10064	8215	6417	14348
ENSG00000013375	9004	3343	7686	7869	1304	13845
ENSG00000013392	1301	405	563	1813	212	2032
ENSG00000013441	10032	6971	4749	10702	28513	14876
ENSG00000013503	1780	2632	3591	3743	515	4414
ENSG00000013523	4722	3297	5995	15115	2088	14897
ENSG00000013561	3923	5140	5324	27609	721	7268
ENSG00000013563	648	4510	11717	9612	3327	30851
ENSG00000013573	4940	4006	16404	8870	849	9970
ENSG00000013583	1126	5369	12886	45062	999	3429
ENSG00000013588	25	14760	37683	11138	34	39159
ENSG00000013619	4658	6260	14335	12157	150	2131
ENSG00000013725	15	0	0	164	20209	0
ENSG00000013810	6682	10228	45976	14350	5884	17111
ENSG00000014123	4358	3886	2780	9335	2635	2565
ENSG00000014138	3953	4518	30264	9579	1059	13057
ENSG00000014164	4676	7427	15479	15943	2893	7299
ENSG00000014216	13022	33561	114440	113899	10464	87480
ENSG00000014257	0	170	856	29	893	0
ENSG00000014641	9098	12751	16503	53553	2833	21632
ENSG00000014824	10362	7577	6721	20516	2315	12916
ENSG00000014914	2191	2700	4435	5261	1500	4455
ENSG00000014919	4241	4986	7056	14451	1346	7925
ENSG00000015133	6001	74	139	40	25460	8949
ENSG00000015153	2221	1532	2226	4015	2066	1823
ENSG00000015171	17087	11570	9780	17342	3375	11477
ENSG00000015285	124	40	45	60	11884	5
ENSG00000015413	1	2	49	0	0	119
ENSG00000015475	2353	2745	12495	4263	4367	15766
ENSG00000015479	55514	19802	25086	37918	24153	27980
ENSG00000015520	10	8	12	3	11	3
ENSG00000015532	2937	4675	17998	14051	2176	14078
ENSG00000015568	1916	1278	1607	1838	2603	3793
ENSG00000015592	4819	0	0	0	0	0
ENSG00000015676	10355	14641	33532	32994	4074	34032
ENSG00000016082	2	740	1478	0	0	102
ENSG00000016391	3439	46	113	133	81	29
ENSG00000016402	46	13	6	6	0	0
ENSG00000016490	1	0	0	2	0	0
ENSG00000016602	0	0	0	0	1	0
ENSG00000016864	4781	6035	9612	11664	1390	14137
ENSG00000017260	8727	13870	11459	45430	3667	15341
ENSG00000017373	3196	56	48	302	10	53
ENSG00000017427	13	1	0	307	15	77
ENSG00000017483	150	2383	21417	285	853	6807
ENSG00000017621	31	46	102	354	71	177
ENSG00000017797	4701	10873	19851	24553	2704	30057
ENSG00000018189	32858	3342	3066	15635	2936	4082
ENSG00000018236	313	321	161	3408	0	13
ENSG00000018280	29	52	20	96	27991	28
ENSG00000018408	26567	14288	46020	51611	60	139973
ENSG00000018510	4437	3239	6037	21781	2580	13431
ENSG00000018610	1032	1420	2367	3534	957	2952
ENSG00000018625	142854	73	8	1	17	3
ENSG00000018699	1724	3583	3110	3640	787	5235
ENSG00000018869	370	157	203	520	87	318
ENSG00000019102	47	12	40	0	159	492
ENSG00000019144	23788	20864	99834	19208	135	68582
ENSG00000019169	0	0	0	0	917	0
ENSG00000019186	0	2	0	13	10	0
ENSG00000019485	548	725	733	836	172	975
ENSG00000019505	110	0	0	0	0	0
ENSG00000019549	679	8800	27986	134831	0	179
ENSG00000019582	20	6	12	117	292322	139
ENSG00000019991	145	1153	1491	7	309	29
ENSG00000019995	5396	5425	4945	13126	5063	7078
ENSG00000020129	9666	11533	28854	21464	1422	11826
ENSG00000020181	245	40391	88465	47878	1002	48007
ENSG00000020256	3152	3996	8305	8678	509	14464
ENSG00000020426	902	4719	2854	1852	363	4762
ENSG00000020577	7365	9756	20492	28662	411	26842
ENSG00000020633	0	681	4151	54133	64367	2
ENSG00000020922	1425	1544	2624	2809	1555	1629
ENSG00000021300	12049	17	15	7093	1123	303
ENSG00000021355	79	3181	2510	10064	10898	3251
ENSG00000021461	2	0	0	3	10	0
ENSG00000021488	16	2	6	19	19	9
ENSG00000021574	3587	1553	1450	4893	1486	3573
ENSG00000021645	6047	26	79	34	0	463
ENSG00000021762	5249	9292	27906	11931	5464	6212
ENSG00000021776	8096	6869	9864	14487	5424	14743
ENSG00000021826	1752	1103	2020	5133	21	75
ENSG00000021852	1	0	0	1	0	0
ENSG00000022267	21133	12298	7862	18824	694	21070
ENSG00000022277	6997	11925	23015	26150	3585	19037
ENSG00000022355	3	0	0	1	0	0
ENSG00000022556	1321	4	6	613	682	2693
ENSG00000022567	2028	1061	2226	2036	1368	1738
ENSG00000022840	18035	28582	44065	47303	13845	32526
ENSG00000022976	1281	2022	2107	3388	1514	4123
ENSG00000023041	3233	5264	6571	10755	2829	8341
ENSG00000023171	2142	469	1284	1376	1690	3537
ENSG00000023191	8889	59679	143691	83113	9989	71680
ENSG00000023228	11523	7301	11379	31628	2734	16071
ENSG00000023287	9072	7095	3533	4258	6319	3729
ENSG00000023318	2807	3916	8825	14486	4168	9136
ENSG00000023330	4964	5134	14494	23883	2160	23257
ENSG00000023445	34	147	436	31	9230	313
ENSG00000023516	18863	10370	11383	19150	5503	9189
ENSG00000023572	269	1629	3172	2259	183	1346
ENSG00000023608	800	2506	1652	1279	373	6118
ENSG00000023697	1332	3046	6152	15160	848	4832
ENSG00000023734	9792	13222	28788	37318	5332	25616
ENSG00000023839	52	65	91	28955	270	1046
ENSG00000023892	17	275	734	286	11185	251
ENSG00000023902	8790	2802	9283	13318	7097	18700
ENSG00000023909	1033	3279	4386	9603	728	6137
ENSG00000024048	6440	6890	5655	12489	11822	12973
ENSG00000024422	10218	110877	398738	54588	39	75607
ENSG00000024526	1541	4867	4724	5819	26	4002
ENSG00000024862	546	1265	743	2981	1147	2140
ENSG00000025039	5037	261	302	39058	670	76
ENSG00000025156	3402	1323	1392	6256	2471	4312
ENSG00000025293	5265	5352	6901	10784	6457	9619
ENSG00000025423	153	37	38	417	17	29
ENSG00000025434	953	3806	6592	4066	224	3602
ENSG00000025708	82	1286	2466	6590	13705	894
ENSG00000025770	5564	6060	28087	10545	3072	10290
ENSG00000025772	4434	15636	52884	11089	1049	13965
ENSG00000025796	9359	10975	11226	12398	4953	10880
ENSG00000025800	10921	16807	49126	38689	9341	31551
ENSG00000026025	494319	1395356	2750208	1601860	124807	1660454
ENSG00000026103	598	3758	6460	2650	2660	735
ENSG00000026297	603	737	6207	2393	13949	2790
ENSG00000026508	2201	71221	187944	506942	59373	5893
ENSG00000026559	133	6968	3103	353	26	92
ENSG00000026652	10767	1398	1535	2190	3582	11393
ENSG00000026751	0	0	0	42	4062	0
ENSG00000026950	1805	658	1504	7877	19880	4570
ENSG00000027001	1627	1977	4248	10275	223	2765
ENSG00000027075	9	147	313	9409	24650	39379
ENSG00000027644	6	0	0	4	11	0
ENSG00000027697	3122	3727	3031	8654	13055	6515
ENSG00000027847	3082	4486	11632	8577	2394	28046
ENSG00000027869	6	89	158	46	3824	105
ENSG00000028116	157	2640	2572	3140	1606	3614
ENSG00000028137	133	290	860	834	64010	41684
ENSG00000028203	7509	7280	6850	7404	2116	22918
ENSG00000028277	245	8686	27237	55	9587	1477
ENSG00000028310	7017	6557	15099	9154	5189	8050
